Sentence ,Masked Sentence,Options,Truth,Options,Rule
"A small loop displayed the beauty of the fabric to advantage, and aided in giving majesty to the figure.","A small loop  <***> the beauty of the fabric to advantage, and  <***> in giving majesty to the figure.","displayed,display*aided,aiding",displayed*aided,,S_V
The satin of her robe was of a pale bluish color which were matching to her skin.,The satin of her robe  <***> of a pale bluish color which  <***>matching to her skin color.,"was,were*were,is",was*were,,S_V
"A few straggling curls fell gracefully on the neck, and a bouquet of artificial flowers was also placed, like a coronet, over her brow.","A  <***> straggling curls fell gracefully on the neck, and a bouquet of artificial flowers  <***> also placed, like a coronet, over her brow.","few,no*was,were",few*was,,N_P_I*S_V
"Last and least, but not the most unlovely, in this display of female charms, was the youngest daughter of Mr. Wharton.","Last and least, but  <***> the most unlovely, in this display of female charms, <***> the youngest daughter of Mr. Wharton.","not,never*was,were",not*was,,N_P_I*S_V
"Frances, we have already mentioned, left the city before she had attained to the age of fashionable womanhood.","Frances, we  <***> already mentioned, left the city before she  <***>attained to the age of fashionable womanhood.","have,has*had,have",have*had,,S_V
"This was but little, but that little was a masterpiece.","This  <***> but little, but that little was <***>  masterpiece.","was,were*was,were",was*were,,S_V
"Frances several times had determined, in the course of the morning, to bestow more than usual pains in the decoration of her person.","Frances several times  <***> determined, in the course of the morning, to  <***> more than usual pains in the decoration of her person.","had,has*bestow,bestows",had*bestow,,S_V
A tucker of rich Dresden lace itself softened the contour of the figure.,A tucker of rich Dresden lace  <***> <***> the contour of the figure.,"itself,yourself*softened,soft",itself*softened,,R_A*S_V
Her head was without ornament; but around her throat was a necklace of gold clasped in front with a rich cornelian.,Her head <***> without ornament; but around her throat <***> a necklace of gold clasped in front with a rich cornelian.,"was,were*was,is",was*was,,S_V
"The trooper caught himself sighing as he thought, though it was good for nothing in the stirrup, how enchantingly it would grace a minuet.","The trooper caught <***> sighing as he thought, though it <***> good for nothing in the stirrup, how enchantingly it would grace a minuet.","himself,herself*was,were",himself*was,,R_A*S_V
"Dr. Sitgreaves offered the same homage to Miss Peyton, and met with equal favor; the lady first pausing to draw on her gloves.","Dr. Sitgreaves <***> the same homage to Miss Peyton, and <***> with equal favor; the lady first pausing to draw on her gloves.","offered,offer*met,meet",offered*met,,S_V
For the first ten minutes all but the captain of dragoons found themselves in a situation much to their liking.,For the first ten minutes all but the captain of dragoons <***><***> in a situation much to their liking.,"found,find*themselves,yourselves",found*themselves,,S_V*R_A
"And now another series of processions commenced, by virtue of which a goodly display of pastry, with its usual accompaniments, garnished the table.","And now another series of processions <***>, by virtue of which a goodly display of pastry, with its usual accompaniments, <***> the table.","commenced,commence*garnished,garnish",commenced*garnished,,S_V
We ourselves are to be honored with a toast from Miss Singleton.,We<***><***> to be honored with a toast from Miss Singleton.,"ourselves,themselves*are,is",ourselves*are,,R_A*S_V
"At length Colonel Wellmere broke silence by saying aloud to Captain Lawton,-","At length Colonel Wellmere <***> silence by <***> aloud to Captain Lawton,-","broke,brokes*saying,say",broke*saying,,S_V
"I suppose, sir, this Mr. Dunwoodie will receive promotion in the rebel army, for the advantage my misfortune gave him over my command.","I suppose, sir, this Mr. Dunwoodie <***> receive promotion in the rebel army, for the advantage my misfortune <***> him over my command.","will,shall*gave,give",will*gave,,S_V
"First helping himself, therefore, to a little of his favorite bottle, he replied with admirable coolness,-","First helping <***>, therefore, to a little of his favorite bottle, he <***> with admirable coolness,-","himself,herself*replied,replies",himself*replied,,R_A*S_V
"Colonel Wellmere, your pardon; Major Dunwoodie owes his allegiance to the confederated states of North America, and where he owes it he pays it.","Colonel Wellmere, your pardon; Major Dunwoodie <***> his allegiance to the confederated states of North America, and where he owes it he <***> it.","owes,owe*pays,pay",owes*pays,,S_V
I spoke as duty to my sovereign prompted; but do you not call the loss of a commander a misfortune to a party?,I <***> as duty to my sovereign prompted; but do you<***> call the loss of a commander a misfortune to a party?,"spoke,spokes*not,never",spoke*not,,S_V*N_P_I
"It certainly may be so, said the trooper, with emphasis.","It certainly <***> be so, <***>the trooper, with emphasis.","may,might*said,says",may*said,,S_V
"Miss Peyton, will you favor us with a toast? cried the master of the house, anxious to stop this dialogue.","Miss Peyton, <***> you favor us with a toast? <***> the master of the house, anxious to stop this dialogue.","will,shall*cried,cries",will*cried,,S_V
"The lady bowed her head with dignity, as she named ""General Montrose""; and the long-absent bloom stole lightly over her features.","The lady <***> her head with dignity, as she <***> ""General Montrose""; and the long-absent bloom stole lightly over her features.","bowed,bows*named,names",bowed*named,,S_V
"There is no term more doubtful than that word misfortune, said the surgeon, regardless of the nice maneuvers of the host.","There <***> no term more doubtful than that word misfortune, <***> the surgeon, regardless of the nice maneuvers of the host.","is,are*said,says",is*said,,S_V
"Some deem one thing a misfortune, others its opposite; misfortune begets misfortune.","Some <***> one thing a misfortune, others its opposite; misfortune <***> misfortune.","deem,deems*begets,beget",deem*begets,,S_V
"It is a misfortune that our mess has no such wine as this,"" interrupted the trooper.","It <***> a misfortune that our mess has no such wine as this,"" <***> the trooper.","is,are*interrupted,interrupt",is*interrupted ,,S_V
"We will pledge you a sentiment in it, sir, as it seems to suit your taste, said Mr. Wharton.","We <***> pledge you a sentiment in it, sir, as it <***> to suit your taste, said Mr. Wharton.","will,shall*seems,seem",will*seems,,S_V
"Lawton filled to the brim, and drank, ""A speedy peace, or a stirring war.""","Lawton <***> to the brim, and <***>, ""A speedy peace, or a stirring war.""","filled,fills*drank,drink",filled*drank,,S_V
"I drink your toast, Captain Lawton, though I greatly distrust your construction of activity, said the surgeon.","I <***> your toast, Captain Lawton, though I greatly distrust your construction of activity, <***> the surgeon.","drink,drinks*said,says",drink*said,,S_V
"In my poor judgment, cavalry should be kept in the rear to improve a victory, and not sent in front to gain it.","In my poor judgment, cavalry <***> be kept in the rear to improve a victory, and not <***> in front to gain it.","should,would*sent,sents",should*sent,,S_V
"In such cases, the lights - the surgeon accidentally caught the eye of the trooper and he paused.","In such cases, the lights - the surgeon accidentally <***> the eye of the trooper and he <***>.","caught,caughting*paused,pause",caught*paused,,S_V
"Taking two or three hasty puffs, he essayed to finish the sentence, ""In such cases, the knowledge that flows from the lights - ""","Taking two or three hasty puffs, he <***> to finish the sentence, ""In such cases, the knowledge that <***> from the lights - ""","essayed,essays*flows,flow",essayed*flows,,S_V
"This dissertation, uttered in a sufficiently didactic manner, was a hint that Miss Peyton did not neglect.","This dissertation, <***> in a sufficiently didactic manner, <***>a hint that Miss Peyton did not neglect.","uttered,utter*was,were",uttered*was,,S_V
"You were saying, sir, said Colonel Wellmere, sipping his wine,-","You <***> saying, sir, said Colonel Wellmere, <***> his wine,-","were,was*sipping,sipped",were*sipping,,S_V
"More is the pity, cried the trooper, ""for next to eating, the nourishment could not be more innocently applied.""","More <***> the pity, cried the trooper, ""for next to eating, the nourishment <***> be more innocently applied.""","is,are*could,can't",is*could,,S_V
"To you, Colonel Wellmere, said the surgeon, ""as a man of education, I can with safety appeal.""","To you, Colonel Wellmere, <***>the surgeon, ""as a man of education, I <***> with safety appeal.""","said,says*can,could",said*can,,S_V
"The triumph of your appeal is somewhat hasty, sir, said Wellmere.","The triumph of your appeal<***> somewhat hasty, sir, <***> Wellmere.","is,are*said,says",is*said,,S_V
"Consistency!"" repeated the surgeon, looking about him a little wildly, at hearing such sweeping charges against a cause he had so long thought holy.","Consistency!"" <***> the surgeon, looking about him a little wildly, at hearing such sweeping charges against a cause he <***> so long thought holy.","repeated,repeat*had,have",repeated*had,,S_V
"Slavery, sir; yes, even slavery; you are putting the tyranny of a mob on the throne of a kind and lenient prince.","Slavery, sir; yes, even slavery; you <***> <***> the tyranny of a mob on the throne of a kind and lenient prince.","are,is*putting,puts",are*putting,,S_V
"Your congress of sages have published a manifesto, wherein they set forth the equality of political rights.""","Your congress of sages <***> published a manifesto, wherein they <***> forth the equality of political rights.""","have,haven't*set,sets",have*set,,S_V
"I say nothing of its ability; but if true, why not set your slaves at liberty?","I <***> nothing of its ability; but if true, why <***> set your slaves at liberty?","say,said*not,never",say*not,,S_V*N_P_I
Every American feels humbled at the necessity of vindicating his country from the apparent inconsistency and injustice of the laws alluded to.,Every American <***> humbled at the necessity of vindicating his country from the apparent inconsistency and injustice of the laws <***> to.,"feels,feel*alluded,alludes",feels*alluded,,S_V
"At the bottom, Sitgreaves had much good sense, and thus called on, he took up the cudgels of argument in downright earnest.","At the bottom, Sitgreaves<***> much good sense, and thus called on, he <***>up the cudgels of argument in downright earnest.","had,have*took,take",had*took,,S_V
We deem it a liberty to have the deciding voice in the councils by which we are governed.,We <***> it a liberty to have the deciding voice in the councils by which we <***> governed.,"deem,doom*are,is",deem*are,,S_V
"I say nothing of oppression; the child was of age, and was entitled to the privileges of majority.","I say nothing of oppression; the child <***>of age, and <***> entitled to the privileges of majority.","was,were*was,were",was*was,,S_V
"The surgeon took another glass, and hemming once, returned to the combat.","The surgeon <***> another glass, and hemming once, <***> to the combat.","took,take*returned,returns",took*returned,,S_V
"And is holding your fellow creatures in bondage in conformity to those laws?"" asked the colonel, impressively.","And <***> holding your fellow creatures in bondage in conformity to those laws?"" <***> the colonel, impressively.","is,am*asked,asks",is*asked,,S_V
"You will except Great Britain, cried the colonel, proudly.","You <***> except Great Britain, <***> the colonel, proudly.","will,would*cried,cries",will*cried,,S_V
"No, sir, continued the surgeon, confidently, feeling that he was now carrying the war out of his own country, ""I cannot except Great Britain.","<***>, sir, continued the surgeon, confidently, feeling that he <***> now carrying the war out of his own country, ""I cannot except Great Britain.","No,never*was,were",No*was,,N_P_I*S_V
"There is not a foot of ground belonging to England, in which a negro would be useful, that has not its slave.","There <***> not a foot of ground belonging to England, in which a negro <***> be useful, that has not its slave.","is,are*would,should",is*would,,S_V
"The same is true of France, and was true about almost other European countries.","The same <***> true of France, and <***> true about almost other European countries.","is,are*was,were",is*was,,S_V
"It will be remembered that Doctor Sitgreaves spoke forty years ago, and Wellmere was unable to contradict his prophetic assertion.","It <***> be remembered that Doctor Sitgreaves <***> forty years ago, and Wellmere was unable to contradict his prophetic assertion.","will,shall*spoke,speak",will*spoke,,S_V
But their movements were arrested at the gate by an occurrence that we shall relate in the next chapter.,But their movements<***> arrested at the gate by an occurrence that we <***> relate in the next chapter.,"were,was*shall,shan't",were*shall,,S_V
It was the approach of this humble procession that arrested the movements of the trooper and his comrade.,It <***> the approach of this humble procession that <***> the movements of the trooper and his comrade.,"was,were*arrested,arrest",was*arrested,,S_V
"Four men supported the body on a rude bier; and four others walked in advance, ready to relieve their friends from their burden.","Four men <***> the body on a rude bier; and four others <***> in advance, ready to relieve their friends from their burden.","supported,supports*walked,walks",supported*walked,,S_V
"Two or three old men and women, with a few straggling boys, brought up the rear.","Two or three old men and women, with a <***> straggling boys, <***> up the rear.","few,no*brought,buy",few*brought,,S_V
"It was not, however, intended as a burial place for any of his own family.","It <***> <***>, however, intended as a burial place for any of his own family.","was,were*not,never",was*not,,S_V*N_P_I
"All are agreeable, said the trooper, following the group they had left with his eyes; ""though the speediest interments give the cleanest fields.","All <***> agreeable, said the trooper, following the group they <***> left with his eyes; ""though the speediest interments give the cleanest fields.","are,is*had,have",are*had,,S_V
"Captain Lawton, I enjoy comparatively but few opportunities of such a nature, to what I expected on entering the army.""","Captain Lawton, I <***> comparatively but few opportunities of such a nature, to what I <***> on entering the army.""","enjoy,enjoys*expected,expects",enjoy*expected,,S_V
"To what may these pleasures numerically amount in a year? said the captain, withdrawing his gaze from the graveyard.","To what <***> these pleasures numerically amount in a year? said the captain, <***>his gaze from the graveyard.","may,might*withdrawing,withdraw",may*withdrawing,,S_V
"Those youngsters themselves are as wasteful as prodigals, and as greedy as vultures.""","Those youngsters <***> <***> as wasteful as prodigals, and as greedy as vultures.""","themselves,ourselves*are,,is",themselves*are,,R_A*S_V
"Why, I furnish you that number was with my own hands.","Why, I <***> you that number <***> with my own hands.","furnish,furnishes*number,numbers",furnish*number,,S_V
"One might get a natural death from that graveyard to-night, if there was but time and opportunity!","One <***> get a natural death from that graveyard to-night, if there <***> but time and opportunity!","might,may*was,am",might*was,,S_V
The patient must be the father of the lady we saw this morning.,The patient <***> be the father of the lady we <***> this morning.,"must,might*saw,see",must*saw,,S_V
"The petticoat doctor! - she with the aurora borealis complexion, said the trooper, with a smile, that began to cause uneasiness to his companion.","The petticoat doctor! - she with the aurora borealis complexion, <***> the trooper, with a smile, that<***> to cause uneasiness to his companion.","said,says*began,begun",said*began,,S_V
"No man ever unhorsed me, Dr. Sitgreaves, said the dragoon, gravely.","<***> man ever unhorsed me, Dr. Sitgreaves, <***> the dragoon, gravely.","No,never*said,says",No*said,,N_P_I*S_V
I fell by mischance of Roanoke; rider and beast kissed the earth together.,I <***> by mischance of Roanoke; rider and beast<***> the earth together.,"fell,felt*kissed,kisses",fell*kissed,,S_V
"And you let him pass! cried the surgeon, checking his horse.","And you let him pass! <***> the surgeon, <***> his horse.","cried,cries*checking,checks",cried*checking,,S_V
"Let us return immediately, and take him; to-morrow you shall have him hanged, Jack, - and, damn him, I'll dissect him!","Let us return immediately, and <***> him; to-morrow you <***> have him hanged, Jack, - and, damn him, I'll dissect him!","take,took*shall,shan't",take*shall,,S_V
Would you arrest a man while paying the last offers to a dead father?,<***> you arrest a man while <***> the last offers to a dead father?,"Would,should*paying,pays",Would*paying,,S_V
"Leave him to me, and I pledge myself he shall have justice.""","Leave him to me, and I pledge <***> he <***> have justice.""","myself,himself*shall,shouldn't",myself*shall,,R_A*S_V
"Uncovering his head also, the peddler hesitated a moment, to gather energy, and spoke.","Uncovering his head also, the peddler <***> a moment, to <***> energy, and spoke.","hesitated,hesitate*gather,gathers",hesitated*gather,,S_V
"My friends and neighbors, he said, ""I thank you for assisting me to bury my dead out of my sight.""","My friends and neighbors, he <***>, ""I <***> you for assisting me to bury my dead out of my sight.""","said,says*thank,thanks",said*thank ,,S_V
"The peddler went to the door, and, taking a cautious glance about the valley, quickly returned, and commenced the following dialogue:-","The peddler <***> to the door, and, <***> a cautious glance about the valley, quickly returned, and commenced the following dialogue:-","went,go*taking,took",went*taking,,S_V
"When you marry, Harvey, you yourself may miss those spoons.","When you marry, Harvey, you <***> <***> miss those spoons.","yourself,themselves*may,might",yourself*may,,R_A*S_V
"Well, if you don't there's no occasion to make rash promises, even to yourself.","Well, if you don't there's no occasion to<***> rash promises, even to <***>.","make,makes*yourself,themselves",make*yourself,,S_V*R_A
"I'm rather timersome about this conveyance,"" said the purchaser, having at length waded through the covenants of the deed.","I'm rather timersome about this conveyance,"" said the purchaser, <***> at length <***>through the covenants of the deed.","having,have*waded,wades",having*waded,,S_V
"They can only take my right, said the peddler.","They <***> only take my right, <***> the peddler.","can,could*said,says",can*said,,S_V
"One never knows what one may do, in such a case.","One <***> knows what one may <***> , in such a case.","never,ever*do,does",never*do,,N_P_I*S_V
"Pay me two hundred dollars, and the house is yours; you are a well-known Whig, and you at least they won't trouble.","Pay me two hundred dollars, and the house <***> yours; you <***>a well-known Whig, and you at least they won't trouble.","is,are*are,were",is*are,,S_V
"As Harvey spoke, there was a strange bitterness of manner, mingled with the shrewd care he expressed concerning the sale of his property.","As Harvey spoke, there <***> a strange bitterness of manner, mingled with the shrewd care he <***> concerning the sale of his property.","was,were*expressed,express",was*expressed,,S_V
"Say one hundred, and it is a bargain, returned the man, with a grin that he meant for a good-natured smile.","Say one hundred, and it<***>a bargain, <***> the man, with a grin that he meant for a good-natured smile.","is,are*returned ,returns",is*returned ,,S_V
"Nothing is a bargain, said the purchaser, with a chuckle, ""until papers are delivered, and the money paid in hand.""","Nothing <***> a bargain, said the purchaser, with a chuckle, ""until papers <***> delivered, and the money paid in hand.""","is,are*are,were",is*are,,S_V
"Come, say one hundred and fifty, and I won't be hard; here - here is just the money.","<***>, say one hundred and fifty, and I won't be hard; here - here <***> just the money.","Come,came*is,are",Come*is,,S_V
"Her voice roused the peddler, and a new idea seemed to strike him.","Her voice <***> the peddler, and a new idea <***>to strike him.","roused,rouse*seemed,seems",roused*seemed,,S_V
"You may lose all yet, muttered the stranger, with a sneer, as he rose and left the building.","You <***> lose all yet, muttered the stranger, with a sneer, as he <***> and left the building.","may,might*rose,rise",may*rose,,S_V
Have you another house to go to? inquired Katy.,<***> you another house to go to? <***> Katy.,"Have,has*inquired,inquire",Have*inquired,,S_V
"Yes, said the housekeeper, ""but maybe 'twill not be to your liking.""","Yes, <***> the housekeeper, ""but maybe 'twill <***> be to your liking.""","said,says*not,never",said*not,,S_V*N_P_I
"I can't say I altogether like the ways of the people hereabouts.""","I <***> <***> I altogether like the ways of the people hereabouts.""","can't,won't*say,saying",can't*say,,N_P_I*S_V
"The valley is lovely, said the peddler, with fervor, ""and the people like all the race of man.","The valley <***> lovely, said the peddler, with fervor, ""and the people <***> all the race of man.","is,are*like,likes",is*like,,S_V
"But to me it matters nothing; all places are now alike, and all faces equally strange.""","But to me it matters nothing; all places <***> now alike, and all faces equally <***>.""","are,were*strange,stranger",are*strange,,S_V
"Not so, not so, said Katy, shoving her chair nearer to the place where the peddler sat.","Not so, not so, said Katy, <***> her chair nearer to the place where the peddler <***>.","shoving,shove*sat,sit",shoving*sat,,S_V
"Not so, Harvey, you must know me at least; my face cannot be strange to you.","Not so, Harvey, you<***> know me at least; my face <***> be strange to you.","must,might*cannot,can",must*cannot,,S_V*N_P_I
"That I will; that I would! said Katy, eagerly.","That I <***>; that I<***>! said Katy, eagerly.","will,shall*would,should",will*would,,S_V
"I will defend you, Harvey, to the last drop; let me hear them that dare to revile you!
","I <***> defend you, Harvey, to the last drop; let me hear them that <***> to revile you!","will,shall*dare,dared",will*dare,,S_V
"Yes, there is one who will, who must know me before I die!","Yes, there <***> one who will, who <***> know me before I die!","is,are*must,might",is*must,,S_V
"Oh! it is dreadful to die, and leave such a name behind me.""","Oh! it <***> dreadful to die, and <***> such a name behind me.""","is,are*leave,leaves",is*leave,,S_V
"You are true, Harvey, I am partial and just to you; what if you do like the king?","You <***> true, Harvey, I <***> partial and just to you; what if you do like the king?","are,is*am,was",are*am,,S_V
The ebullition of feeling in the peddler was over.,The ebullition of <***> in the peddler <***>over.,"feeling,feels*was,were",feeling*was,,S_V
"It had been excited by the events of the past day, and a vivid perception of his sufferings.","It <***> been<***> by the events of the past day, and a vivid perception of his sufferings.","had,have*excited,excites",had*excited,,S_V
"It is painful to part with even you, good woman, he said, ""but the hour has come, and I must go.","It <***> painful to part with even you, good woman, he said, ""but the hour <***> come, and I must go.","is,are*has,have",is*has,,S_V
"In the regions of darkness! cried a voice that caused the peddler to sink on the chest from which he had risen, in despair.","In the regions of darkness! <***> a voice that caused the peddler to sink on the chest from which he <***> risen, in despair.","cried,cries*had,has",cried*had,,S_V
"What! another pack, Mr. Birch, and so well stuffed so soon!","<***>! another pack, Mr. Birch, and so well <***> so soon!","What,when*stuffed,stuff",What*stuffed,,Wh*S_V
"Have you not done evil enough? cried the peddler, regaining his firmness, and springing on his feet with energy.","<***> you not done evil enough? <***> the peddler, regaining his firmness, and springing on his feet with energy.","Have,has*cried,cries",Have*cried,,S_V
Is it not enough to harass the last moments of a dying man - to impoverish me; what more would you have?,<***> it not enough to harass the last moments of a dying man - to impoverish me; what more <***> you have?,"Is,are*would,should",Is*would,,S_V
"Like the ancient Judas, you would grow rich with the price of blood!","Like the ancient Judas, <***> would <***> rich with the price of blood!","you,your*grow,grows",you*grow,,S_V
"Aye, and a fair price it is, my gentleman; fifty guineas were nearly the weight of that carcass of yours in gold.","Aye, and a fair price it <***>, my gentleman; fifty guineas <***> nearly the weight of that carcass of yours in gold.","is,are*were,was",is*were,,S_V
"One hour? said the Skinner, showing his teeth, and looking with a longing eye at the money.","One hour? <***>the Skinner,<***>his teeth, and looking with a longing eye at the money.","said,says*showing,shows",said*showing,,S_V
"Go on, said the peddler, proudly; ""take me to Major Dunwoodie; he, at least, may be kind, although just.""","Go on, said the peddler, proudly; ""<***> me to Major Dunwoodie; he, at least, <***> be kind, although just.""","take,took*may,might",take*may,,S_V
"""That's nothing, and you may get rid of even that by quick breathing whenever you feel the pain.""","""That's nothing, and you <***>  rid of even that by quick breathing whenever you <***> the pain.""","get,got*feel,felt",get*feel,,S_V
"Give me my money, or set Harvey free, cried the spinster in alarm.","<***> me my money, or set Harvey free, <***> the spinster in alarm.","Give,gives*cried,cries",Give*cried,,S_V
"Your bribe was not enough, good woman, unless there is money in this bed.","Your bribe <***>not enough, good woman, unless there <***> money in this bed.","was,were*is,are",was*is,,S_V
"Thrusting his bayonet through the ticking and ripping it for some distance, he took a malicious satisfaction in scattering its contents about the room.","<***> his bayonet through the ticking and ripping it for some distance, he <***>a malicious satisfaction in scattering its contents about the room.","Thrusting,thrust*took,take",Thrusting*took,,S_V
The curse of heaven light on the log! he himself exclaimed.,The curse of heaven light on the log! he <***><***>.,"himself,herself*exclaimed,exclaim",himself*exclaimed,,R_A*S_V
"And see the farther, said the other, hurling the brand in the midst of the combustibles.","And see the farther, <***> the other, <***>the brand in the midst of the combustibles.","said,says*hurling,hurl",said*hurling,,S_V
Come on; let us move towards the heights while we have light to pick our road.,<***> on; let us move towards the heights while we<***> light to pick our road.,"Come,came*have,has",Come*have,,S_V
"Villain! cried the exasperated purchaser, ""is this your friendship - this my reward for kidnapping the peddler?""","Villain! <***> the exasperated purchaser, ""<***> this your friendship - this my reward for kidnapping the peddler?""","cried,cries*is,are",cried*is,,S_V
"""Exactly so,"" I said, determined not to say a word that might cross my uncle's prejudices","""Exactly so,"" I <***>, determined not to say a word that <***> cross my uncle's prejudices","said,says*might,may",said*might,,S_V
"The weather, which had been mild and clear since the storm, now changed with the suddenness of the American climate.","The weather, which <***> been mild and clear since the storm, now <***> with the suddenness of the American climate.","had,has*changed,change",had*changed,,S_V
There was something in the sad office that was in unison with her feelings.,There <***> something in the sad office that <***> in unison with her feelings.,"was,were*was,were",was*was,,S_V
"Tis thought you have little to apprehend for your brother, said Frances, in the same embarrassed manner.","Tis thought you <***> little to apprehend for your brother, <***>Frances, in the same embarrassed manner.","have,has*said,says",have*said,,S_V
Have you seen him when he was brought in by Major Dunwoodie ,<***> you seen him when he <***> brought in by Major Dunwoodie,"Have,has*was,were",Have*was,,S_V
"You were speaking of Major Dunwoodie, said Isabella, faintly.","You <***>speaking of Major Dunwoodie, <***>Isabella, faintly.","were,was*said,says",were*said,,S_V
"Speak, Miss Wharton; is Major Dunwoodie known to you?","<***>, Miss Wharton; <***> Major Dunwoodie known to you?","Speak,speaks*is,are",Speak*is,,S_V
"He is my relative, said Frances, appalled at the manner of the other.","He <***> my relative, said Frances, <***> at the manner of the other.","is,was*appalled,appall",is*appalled,,S_V
"A relative! echoed Miss Singleton; ""in what degree? - speak, Miss Wharton, I conjure you to speak.""","A relative! <***> Miss Singleton; ""in what degree? - speak, Miss Wharton, I <***> you to speak.""","echoed,echoes*conjure,conjured",echoed*conjure,,S_V
"And he is to be your husband? said the stranger, impetuously.","And he<***> to be your husband? <***> the stranger, impetuously.","is,are*said,says",is*said,,S_V
"Speak to me, Miss Wharton; I conjure you, in mercy to my feelings, to tell me - do you love Dunwoodie?""","Speak to me, Miss Wharton; I <***> you, in mercy to my feelings, to tell me - do you <***> Dunwoodie?""","conjure,conjures*love,loves",conjure*love,,S_V
"Pardon me, Miss Wharton, if my ungovernable feelings have led me into impropriety; the powerful motive - the cruel reason - she hesitated.","Pardon me, Miss Wharton, if my ungovernable feelings <***> led me into impropriety; the powerful motive - the cruel reason - she <***>.","have,has*hesitated,hesitate",have*hesitated,,S_V
"Frances now raised her face, and their eyes once more met; they fell in each other's arms, and laid their burning cheeks together.","Frances now <***> her face, and their eyes once more met; they <***>in each other's arms, and laid their burning cheeks together.","raised,raises*fell,felt",raised*fell,,S_V
"While this extraordinary scene was acting in the room of Miss Singleton, matters of great importance were agitated in the drawing-room.","While this extraordinary scene <***>acting in the room of Miss Singleton, matters of great importance <***> agitated in the drawing-room.","was,is*were,are",was*were,,S_V
"Renowned, when we consider the enemy he overcame, said Sarah, with consideration for her companion's feelings.","Renowned, when we consider the enemy he <***>, <***> Sarah, with consideration for her companion's feelings.","overcame,overcome*said,say",overcame*said,,S_V
"Twas unfortunate, indeed, in every respect, that you met with the accident, or doubtless the royal arms would have triumphed in their usual manner.","Twas unfortunate, indeed, in every respect, that you <***> with the accident, or doubtless the royal arms would <***> triumphed in their usual manner.","met,meet*have,had",met*would,,S_V
"Trifling, indeed, compared to the former, returned the colonel, in the same manner.","Trifling, indeed, <***> to the former,<***> the colonel, in the same manner.","compared,compares*returned,returns",compared*returned,,S_V
"Miss Wharton, it is in such moments that we feel the full value of friendship and sympathy.""","Miss Wharton, it <***> in such moments that we <***> the full value of friendship and sympathy.""","is,are*feel,feels",is*feel,,S_V
"Sarah found the conversation, when it began to touch on friendship and sympathy, too interesting to venture her voice with a reply.","Sarah <***> the conversation, when it <***> to touch on friendship and sympathy, too interesting to venture her voice with a reply.","found,find*began,begun",found*began,,S_V
"But I kept this objection to myself, and waited the course of events.","But I kept this objection to <***>, and <***> the course of events.","myself,yourself*waited,waits",myself*waited,,R_A*S_V
"It must be confessed that hitherto things had not gone on so badly, and that I had small reason to complain","It <***> be confessed that hitherto things <***> not gone on so badly, and that I had small reason to complain","must,might*had,has",must*had,,S_V
"The position held by the corps of dragoons, we have already said, was a favorite place of halting with their commander.","The position <***> by the corps of dragoons, we <***> already said, was a favorite place of halting with their commander.","held,hold*have,had",held*have,,S_V
"With a celerity that seemed almost supernatural, Betty took up her ground and commenced her occupation.","With a celerity that <***>almost supernatural, Betty<***> up her ground and commenced her occupation.","seemed,seems*took,take",seemed*took,,S_V
"The men were quartered in the adjacent barns, and the officers collected in the ""Hotel Flanagan,"" as they facetiously called headquarters.","The men <***> quartered in the adjacent barns, and the officers <***> in the ""Hotel Flanagan,"" as they facetiously called headquarters.","were,was*collected,collects",were*collected,,S_V
"Ah! by my hopes of promotion, my gentle Elizabeth, but you are welcome! cried the trooper, as he threw himself from his saddle.","Ah! by my hopes of promotion, my gentle Elizabeth, but you are welcome! cried the trooper, as he <***> <***> from his saddle.","threw,throw*himself,themselves ",threw*himself,,S_V*R_A
"Now sure, Captain Jack, ye's always full of your complimentaries, replied the sutler, taking the bridle of her customer.","Now sure, Captain Jack, ye's always full of your complimentaries, <***> the sutler,<***> the bridle of her customer.","replied,replies*taking,take",replied*taking,,S_V
"So you have been laying the rails under contribution, I see.","So you <***> been laying the rails under contribution, I <***>.","Have,had*see,sees",Have*see,,S_V
"The animal looks as if it meant more than it says!""","The animal <***> as if it meant more than it <***>!""","looks,look*says,say",looks*says,,S_V
"Barbarous stupidity! cried the panic-stricken physician, ""to feed men laboring under the excitement of fever with powerful nutriment.","Barbarous stupidity! <***> the panic-stricken physician, ""to <***> men laboring under the excitement of fever with powerful nutriment.","cried,cries*feed,feeds",cried*feed,,S_V
"Woman, woman, you yourselves are enough to defeat the skill of Hippocrates!""","Woman, woman, you <***> <***> enough to defeat the skill of Hippocrates!""","yourselves,ourselves*are,am",yourselves*are,,R_A*S_V
"Lawton and his companion now entered the building, and the first objects which met their eyes explained the hidden meaning of Betty's comfortable declaration.","Lawton and his companion now <***> the building, and the first objects which <***>their eyes explained the hidden meaning of Betty's comfortable declaration.","entered,enters*met,meet",entered*met,,S_V
"And a royal gift it is, said the grinning subaltern, who made the explanation.","And a royal gift it <***>, <***> the grinning subaltern, who made the explanation.","is,are*said,says",is*said,,S_V
"I am thinking that after we have primed with such stuff, we could charge through Sir Henry's headquarters, and carry off the knight himself.""","I <***> thinking that after we <***> primed with such stuff, we could charge through Sir Henry's headquarters, and carry off the knight himself.""","am,is*have,has",am*have,,S_V
